Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-138,278,44
Action-139,100,14
Action-140,438,19
Action-141,236,7
Action-142,429,14
Action-143,244,43
Action-144,452,5
Action-145,195,11
Action-146,138,14
Action-147,153,37
Action-148,466,20
Action-149,145,9
Action-150,9,47
Action-151,152,9
Action-152,136,11
Action-153,149,26
Action-154,157,3
Action-155,19,13
Action-156,59,19
Action-157,20,24
Action-158,437,37
Action-159,175,26
Action-160,494,30
Action-161,448,33
Action-162,177,7
Action-163,347,18
Action-164,71,0
Action-165,116,43
Action-166,447,2
Action-167,264,37
Action-168,133,29
Action-169,190,39
Action-170,447,26
Action-171,461,18
Action-172,307,10
Action-173,84,45
Action-174,72,29
Action-175,225,2
Action-176,126,20
Action-177,211,10
Action-178,170,12
Action-179,469,40
Action-180,181,7
Action-181,279,26
Action-182,286,12
Action-183,113,2
Action-184,222,36
Action-185,111,16
Action-186,260,0
Action-187,378,41
Action-188,379,23
Action-189,410,14
Action-190,475,4
Action-191,472,33
Action-192,280,7
Action-193,462,17
Action-194,153,8
Action-195,125,28
Action-196,396,27
Action-197,413,8
Action-198,485,9
Action-199,369,31
Action-200,358,31
Action-201,79,7
Action-202,114,10
Action-203,2,8
Action-204,64,12
Action-205,201,46
Action-206,477,9
Action-207,405,26
Action-208,355,24
Action-209,478,29
Action-210,448,35
Action-211,395,42
Action-212,154,31
Action-213,217,29
Action-214,30,29
Action-215,2,33
Action-216,362,21
Action-217,343,17
Action-218,268,18
Action-219,104,10
Action-220,128,33
Action-221,436,46
Action-222,33,13
Action-223,301,48
Action-224,60,1
Action-225,25,42
Action-226,273,1
Action-227,45,44
Action-228,418,21
Action-229,103,34
Action-230,270,42
Action-231,303,34
Action-232,436,14
Action-233,386,21
Action-234,287,36
Action-235,275,24
Action-236,40,24
Action-237,482,21
Action-238,380,33
Action-239,372,15
Action-240,492,24
Action-241,436,8
Action-242,385,16
Action-243,406,37
Action-244,256,44
Action-245,81,18
Action-246,466,4
Action-247,277,47
Action-248,488,7
Action-249,128,20
Action-250,132,29
Action-251,282,33
Action-252,109,10
Action-253,210,16
Action-254,233,40
Action-255,241,12
Action-256,117,17
Action-257,138,11
Action-258,71,33
Action-259,274,8
Action-260,189,48
Action-261,429,21
Action-262,345,1
Action-263,4,45
Action-264,261,26
Action-265,230,6
Action-266,401,6
Action-267,262,42
Action-268,330,26
Action-269,416,0
Action-270,254,25
Action-271,33,45
Action-272,8,7
Action-273,20,19
Action-274,287,48
Action-275,409,14
Action-276,95,8
Action-277,123,41
Action-278,250,28
Action-279,286,35
Action-280,213,31
Action-281,41,27
Action-282,359,27
Action-283,164,17
Action-284,339,12
Action-285,453,21
Action-286,72,43
Action-287,375,8
Action-288,125,40
Action-289,355,42
Action-290,278,10
Action-291,58,15
Action-292,388,35
Action-293,397,0
Action-294,393,34
Action-295,294,26
Action-296,4,20
Action-297,49,30
Action-298,28,5
Action-299,440,14
Action-300,250,22
Action-301,370,22
Action-302,237,46
Action-303,308,5
Action-304,178,0
Action-305,116,26
Action-306,74,49
Action-307,197,7
Action-308,158,44
Action-309,88,41
Action-310,203,45
Action-311,92,31
Action-312,459,4
Action-313,283,31
Action-314,213,16
Action-315,235,0
Action-316,121,17
Action-317,102,20
Action-318,250,22
Action-319,244,23
Action-320,358,40
Action-321,208,33
Action-322,230,47
Action-323,376,4
Action-324,326,26
Action-325,303,11
Action-326,233,32
Action-327,201,45
Action-328,420,2
Action-329,263,9
Action-330,261,13
Action-331,481,4
Action-332,103,18
Action-333,24,36
Action-334,66,0
Action-335,304,11
Action-336,0,12
Action-337,260,15
Action-338,497,7
Action-339,351,9
Action-340,130,36
Action-341,348,7
Action-342,138,2
Action-343,154,24
Action-344,214,13
Action-345,407,1
Action-346,40,2
Action-347,496,41
Action-348,374,1
Action-349,290,33
Action-350,80,41
Action-351,491,10
Action-352,319,8
Action-353,231,11
Action-354,170,28
Action-355,142,14
Action-356,175,30
Action-357,334,20
Action-358,83,6
Action-359,390,3
Action-360,385,34
Action-361,289,2
Action-362,173,10
Action-363,187,32
Action-364,420,35
Action-365,359,16
Action-366,283,7
Action-367,390,36
Action-368,188,9
Action-369,95,6
Action-370,111,39
Action-371,344,42
Action-372,490,47
Action-373,298,30
Action-374,76,8
Action-375,318,29
Action-376,318,3
Action-377,478,44
Action-378,297,46
Action-379,325,28
Action-380,425,15
Action-381,13,7
Action-382,450,42
Action-383,29,6
Action-384,129,11
Action-385,276,48
Action-386,314,41
Action-387,84,12
Action-388,448,32
Action-389,98,29
Action-390,272,33
Action-391,249,8
Action-392,39,45
Action-393,436,49
Action-394,80,27
Action-395,180,0
Action-396,33,43
Action-397,424,15
Action-398,61,20
Action-399,315,30
Action-400,406,8
Action-401,157,35
Action-402,50,6
Action-403,285,37
Action-404,11,37
Action-405,48,24
Action-406,57,29
Action-407,239,8
Action-408,446,48
Action-409,278,15
Action-410,18,30
Action-411,194,45
Action-412,358,16
Action-413,372,21
Action-414,177,14
Action-415,227,17
Action-416,196,16
Action-417,55,3
Action-418,65,20
Action-419,215,25
Action-420,154,14
Action-421,118,18
Action-422,359,42
Action-423,495,6
Action-424,277,15
Action-425,182,12
Action-426,34,47
Action-427,199,42
Action-428,276,13
Action-429,92,13
Action-430,236,43
Action-431,304,44
Action-432,376,1
Action-433,376,45
Action-434,322,14
Action-435,146,21
Action-436,319,24
Action-437,319,22
Action-438,264,14
Action-439,280,40
Action-440,298,47
Action-441,107,11
Action-442,143,16
Action-443,13,12
Action-444,364,4
Action-445,409,15
Action-446,327,14
Action-447,55,37
Action-448,231,13
Action-449,230,17
Action-450,90,44
Action-451,116,37
Action-452,62,32
Action-453,479,40
Action-454,355,34
Action-455,177,19
Action-456,23,13
Action-457,166,10
Action-458,67,49
Action-459,305,20
Action-460,392,29
Action-461,385,23
Action-462,302,47
Action-463,200,22
Action-464,373,47
Action-465,190,38
Action-466,478,0
Action-467,224,3
Action-468,142,37
Action-469,104,23
Action-470,18,40
Action-471,23,10
Action-472,18,16
Action-473,187,29
Action-474,159,18
Action-475,204,12
Action-476,139,35
Action-477,312,21
Action-478,163,11
Action-479,48,40
Action-480,2,10
Action-481,101,30
Action-482,248,45
Action-483,75,49
Action-484,398,6
Action-485,474,36
Action-486,412,12
Action-487,292,2
Action-488,199,9
Action-489,452,29
Action-490,258,5
Action-491,194,3
Action-492,88,32
Action-493,307,22
Action-494,121,22
Action-495,336,13
Action-496,172,8
Action-497,216,4
Action-498,487,12
Action-499,328,38
Action-500,385,18
Action-501,158,4
Action-502,193,22
Action-503,187,37
Action-504,178,49
Action-505,361,29
Action-506,222,30
Action-507,68,9
Action-508,263,20
Action-509,269,16
Action-510,363,13
Action-511,276,39
Action-512,478,47
Action-513,469,10
Action-514,434,20
Action-515,20,48
Action-516,2,19
Action-517,53,0
Action-518,462,25
Action-519,107,15
Action-520,21,40
Action-521,37,0
Action-522,62,22
Action-523,86,9
Action-524,38,21
Action-525,496,13
Action-526,474,47
Action-527,81,0
Action-528,255,28
Action-529,110,20
Action-530,358,24
Action-531,407,43
Action-532,44,46
Action-533,118,36
Action-534,29,43
Action-535,416,20
Action-536,354,47
Action-537,199,17
Action-538,155,21
Action-539,50,23
Action-540,20,29
Action-541,2,38
Action-542,356,0
Action-543,391,5
Action-544,147,12
Action-545,237,19
Action-546,447,43
Action-547,413,18
Action-548,446,39
Action-549,408,32
Action-550,323,39
Action-551,206,16
Action-552,334,19
Action-553,54,29
Action-554,335,49
Action-555,458,8
Action-556,87,33
Action-557,379,25
Action-558,201,38
Action-559,56,41
Action-560,388,21
Action-561,201,32
Action-562,8,44
Action-563,480,18
Action-564,210,30
Action-565,201,37
Action-566,448,6
Action-567,347,38
Action-568,391,12
Action-569,334,18
Action-570,329,46
Action-571,51,18
Action-572,373,34
Action-573,212,25
Action-574,106,23
Action-575,219,46
Action-576,235,15
Action-577,198,41
Action-578,191,18
Action-579,324,30
Action-580,146,28
Action-581,453,1
Action-582,103,1
Action-583,422,45
Action-584,301,42
Action-585,159,49
Action-586,311,45
Action-587,491,4
Action-588,93,8
Action-589,11,31
Action-590,301,8
Action-591,318,27
Action-592,201,9
Action-593,458,46
Action-594,235,34
Action-595,171,15
Action-596,95,43
Action-597,47,40
Action-598,210,22
Action-599,168,31
Action-600,497,41
Action-601,52,42
Action-602,487,37
Action-603,328,11
Action-604,172,38
Action-605,152,35
Action-606,76,32
Action-607,207,31
Action-608,105,0
Action-609,177,8
Action-610,72,4
Action-611,54,32
Action-612,481,0
Action-613,224,30
Action-614,128,29
Action-615,194,49
Action-616,79,9
Action-617,49,39
Action-618,308,25
Action-619,66,27
Action-620,248,14
Action-621,62,29
Action-622,86,42
Action-623,415,44
Action-624,471,1
Action-625,413,24
Action-626,337,4
Action-627,341,31
Action-628,143,39
Action-629,289,19
Action-630,292,29
Action-631,471,34
Action-632,152,39
Action-633,460,38
Action-634,483,39
Action-635,215,14
Action-636,121,33
Action-637,126,42
Action-638,163,16
Action-639,87,49
Action-640,124,14
Action-641,428,25
Action-642,312,17
Action-643,200,25
Action-644,118,6
Action-645,298,16
Action-646,126,33
Action-647,171,14
Action-648,76,38
Action-649,235,11
Action-650,110,2
Action-651,495,0
Action-652,424,11
Action-653,397,44
Action-654,444,11
Action-655,32,2
Action-656,291,24
Action-657,281,28
Action-658,278,43
Action-659,400,6
Action-660,285,19
Action-661,25,11
Action-662,238,30
Action-663,71,5
Action-664,348,24
Action-665,44,36
Action-666,89,39
Action-667,220,37
Action-668,492,23
Action-669,124,3
Action-670,264,19
Action-671,114,47
Action-672,385,17
Action-673,295,47
Action-674,129,2
Action-675,496,17
Action-676,442,2
Action-677,494,27
Action-678,321,42
Action-679,253,1
Action-680,466,37
Action-681,361,9
Action-682,61,6
Action-683,77,6
Action-684,206,26
Action-685,77,36
Action-686,214,0
Action-687,396,28
Action-688,404,18
Action-689,213,19
Action-690,234,15
Action-691,472,1
Action-692,271,32
Action-693,489,13
Action-694,125,30
Action-695,10,25
Action-696,151,39
Action-697,182,12
Action-698,461,43
Action-699,171,25
Action-700,109,23
Action-701,497,27
Action-702,161,31
Action-703,315,44
Action-704,399,10
Action-705,448,4
Action-706,477,35
Action-707,57,16
Action-708,255,23
Action-709,347,22
Action-710,426,23
Action-711,314,3
Action-712,67,37
Action-713,232,12
Action-714,244,44
Action-715,72,48
Action-716,360,0
Action-717,202,26
Action-718,488,9
Action-719,350,34
Action-720,16,27
Action-721,46,1
Action-722,444,21
Action-723,357,43
Action-724,228,30
Action-725,257,38
Action-726,5,44
Action-727,447,11
Action-728,221,32
Action-729,94,15
Action-730,46,18
Action-731,212,23
Action-732,246,13
Action-733,117,23
Action-734,466,10
Action-735,119,17
Action-736,78,13
Action-737,182,23
Action-738,400,18
Action-739,347,4
Action-740,297,17
Action-741,429,13
Action-742,470,21
Action-743,338,34
Action-744,7,48
Action-745,293,30
Action-746,230,13
Action-747,438,30
Action-748,131,40
Action-749,452,6
Action-750,66,4
Action-751,75,26
Action-752,183,44
Action-753,263,31
Action-754,335,39
Action-755,493,40
Action-756,463,19
Action-757,87,16
Action-758,135,41
Action-759,72,41
Action-760,127,2
Action-761,279,34
Action-762,275,25
Action-763,328,7
Action-764,176,20
Action-765,483,44
Action-766,60,42
Action-767,195,29
Action-768,28,16
Action-769,317,37
Action-770,392,18
Action-771,84,19
Action-772,136,8
Action-773,37,45
Action-774,111,2
Action-775,348,47
Action-776,244,9
Action-777,200,37
Action-778,243,48
Action-779,350,24
Action-780,35,48
Action-781,129,24
Action-782,31,13
Action-783,93,27
Action-784,184,15
Action-785,428,27
Action-786,294,6
Action-787,139,2
Action-788,271,10
Action-789,390,42
Action-790,230,13
Action-791,343,46
Action-792,150,18
Action-793,322,9
Action-794,96,12
Action-795,78,7
Action-796,97,31
Action-797,23,15
Action-798,243,12
Action-799,73,5
Action-800,118,1
Action-801,49,37
Action-802,98,30
Action-803,333,30
Action-804,344,22
Action-805,341,12
Action-806,458,25
Action-807,84,2
Action-808,185,7
Action-809,445,7
Action-810,414,43
Action-811,114,36
Action-812,3,21
Action-813,373,14
Action-814,225,2
Action-815,324,33
Action-816,45,17
Action-817,401,18
Action-818,145,15
Action-819,397,4
Action-820,369,34
Action-821,431,11
Action-822,43,31
Action-823,392,32
Action-824,288,6
Action-825,115,43
Action-826,21,45
Action-827,260,15
Action-828,317,24
Action-829,70,40
Action-830,220,35
Action-831,2,44
Action-832,327,44
Action-833,102,13
Action-834,240,29
Action-835,46,11
Action-836,335,29
Action-837,430,40
Action-838,389,8
Action-839,268,15
Action-840,177,43
Action-841,5,48
Action-842,421,10
Action-843,350,34
Action-844,149,13
Action-845,292,3
Action-846,284,48
Action-847,35,47
Action-848,425,44
Action-849,376,14
Action-850,404,27
Action-851,359,19
Action-852,171,43
Action-853,44,20
Action-854,377,33
Action-855,396,45
Action-856,43,35
Action-857,194,38
Action-858,341,37
Action-859,163,24
Action-860,394,43
Action-861,494,49
Action-862,397,46
Action-863,60,34
Action-864,341,7
Action-865,265,43
Action-866,86,38
Action-867,383,5
Action-868,422,20
Action-869,201,6
Action-870,380,6
Action-871,440,44
Action-872,462,12
Action-873,69,15
Action-874,347,44
Action-875,257,7
Action-876,456,26
Action-877,438,5
Action-878,239,47
Action-879,392,41
Action-880,375,11
Action-881,371,32
Action-882,471,33
Action-883,324,42
Action-884,41,44
Action-885,487,33
Action-886,152,25
Action-887,490,45
Action-888,231,24
Action-889,465,28
Action-890,363,47
Action-891,375,0
Action-892,3,10
Action-893,409,47
Action-894,487,5
Action-895,112,7
Action-896,278,34
Action-897,100,42
Action-898,41,36
Action-899,105,36
Action-900,104,29
Action-901,137,24
Action-902,301,30
Action-903,203,1
Action-904,127,27
Action-905,139,17
Action-906,17,3
Action-907,401,4
Action-908,231,19
Action-909,387,47
Action-910,391,48
Action-911,237,20
Action-912,241,40
Action-913,372,26
Action-914,129,16
Action-915,459,37
Action-916,399,40
Action-917,326,32
Action-918,445,35
Action-919,246,46
Action-920,207,13
Action-921,163,3
Action-922,280,22
Action-923,98,10
Action-924,302,23
Action-925,17,32
Action-926,214,9
Action-927,241,8
Action-928,395,2
Action-929,366,18
Action-930,398,7
Action-931,431,19
Action-932,350,47
Action-933,437,11
Action-934,319,13
Action-935,55,11
Action-936,338,23
Action-937,11,0
Action-938,46,26
Action-939,50,47
Action-940,458,36
Action-941,268,34
Action-942,206,1
Action-943,435,46
Action-944,387,32
Action-945,315,29
Action-946,111,12
Action-947,342,31
Action-948,163,23
Action-949,15,5
Action-950,120,16
Action-951,326,30
Action-952,68,43
Action-953,37,6
Action-954,3,3
Action-955,142,20
Action-956,112,27
Action-957,455,0
Action-958,323,46
Action-959,471,41
Action-960,394,18
Action-961,77,24
Action-962,365,39
Action-963,379,25
Action-964,143,18
Action-965,348,5
Action-966,100,37
Action-967,112,23
Action-968,403,11
Action-969,476,28
Action-970,394,31
Action-971,177,33
Action-972,272,25
Action-973,415,21
Action-974,347,9
Action-975,324,2
Action-976,385,1
Action-977,328,23
Action-978,258,20
Action-979,22,33
Action-980,49,28
Action-981,176,17
Action-982,162,22
Action-983,224,48
Action-984,410,21
Action-985,211,4
Action-986,285,12
Action-987,269,29
Action-988,458,40
Action-989,40,39
Action-990,283,15
Action-991,119,16
Action-992,93,31
Action-993,342,43
Action-994,394,10
Action-995,42,11
Action-996,425,35
Action-997,350,42
Action-998,489,16
Action-999,219,32
Action-1000,426,13
Action-1001,360,38
Action-1002,368,12
Action-1003,487,23
Action-1004,330,12
Action-1005,457,5
Action-1006,283,22
Action-1007,145,34
Action-1008,149,41
Action-1009,247,7
Action-1010,61,19
Action-1011,132,22
Action-1012,352,24
Action-1013,23,12
Action-1014,191,47
Action-1015,220,9
Action-1016,228,18
Action-1017,446,1
Action-1018,466,13
Action-1019,109,0
Action-1020,295,7
Action-1021,290,49
Action-1022,131,11
Action-1023,279,36
Action-1024,227,36
Action-1025,413,47
Action-1026,391,18
Action-1027,406,41
Action-1028,265,46
Action-1029,338,12
Action-1030,391,10
Action-1031,259,42
Action-1032,490,43
Action-1033,427,7
Action-1034,183,16
Action-1035,404,31
Action-1036,161,7
Action-1037,102,40
Action-1038,122,37
Action-1039,198,37
Action-1040,330,9
Action-1041,384,18
Action-1042,193,9
Action-1043,299,26
Action-1044,201,49
Action-1045,363,8
Action-1046,467,34
Action-1047,453,19
Action-1048,145,0
Action-1049,367,1
Action-1050,329,29
Action-1051,490,28
Action-1052,44,2
Action-1053,436,3
Action-1054,223,3
Action-1055,276,19
Action-1056,391,43
Action-1057,425,48
Action-1058,473,34
Action-1059,422,14
Action-1060,397,17
Action-1061,217,10
Action-1062,350,4
Action-1063,87,3
Action-1064,152,2
Action-1065,487,6
Action-1066,384,24
Action-1067,210,14
Action-1068,184,34
Action-1069,424,22
Action-1070,491,5
Action-1071,312,7
Action-1072,394,11
Action-1073,270,11
Action-1074,369,16
Action-1075,287,3
Action-1076,328,48
Action-1077,310,0
Action-1078,372,39
Action-1079,299,13
Action-1080,17,45
Action-1081,296,37
Action-1082,414,18
Action-1083,210,19
Action-1084,186,32
Action-1085,50,24
Action-1086,11,43
Action-1087,481,20
Action-1088,216,25
Action-1089,86,23
Action-1090,377,46
Action-1091,146,25
Action-1092,384,39
Action-1093,357,40
Action-1094,436,24
Action-1095,189,4
Action-1096,254,32
Action-1097,356,25
Action-1098,211,5
Action-1099,150,24
Action-1100,493,20
Action-1101,164,20
Action-1102,89,10
Action-1103,5,11
Action-1104,257,20
Action-1105,316,48
Action-1106,432,26
Action-1107,117,0
Action-1108,475,2
Action-1109,0,14
Action-1110,279,28
Action-1111,206,4
Action-1112,107,28
Action-1113,253,14
Action-1114,171,2
Action-1115,413,46
Action-1116,384,37
Action-1117,169,10
Action-1118,124,12
Action-1119,158,12
Action-1120,426,47
Action-1121,361,19
Action-1122,410,45
Action-1123,371,38
Action-1124,319,2
Action-1125,150,18
Action-1126,322,46
Action-1127,414,41
Action-1128,459,33
Action-1129,20,22
Action-1130,445,41
Action-1131,426,0
Action-1132,3,9
Action-1133,215,15
Action-1134,491,15
Action-1135,333,38
Action-1136,76,40
Action-1137,319,16
Action-1138,119,36
Action-1139,286,28
Action-1140,406,33
Action-1141,55,5
Action-1142,166,28
Action-1143,78,42
Action-1144,482,25
Action-1145,343,44
Action-1146,226,13
Action-1147,382,30
Action-1148,328,7
Action-1149,297,37
Action-1150,184,20
Action-1151,323,48
Action-1152,466,3
Action-1153,420,1
Action-1154,43,22
Action-1155,472,25
Action-1156,216,21
Action-1157,192,2
Action-1158,269,40
Action-1159,184,41
Action-1160,60,12
Action-1161,328,30
Action-1162,162,37
Action-1163,280,31
Action-1164,238,45
Action-1165,58,38
Action-1166,4,20
Action-1167,405,21
Action-1168,223,22
Action-1169,221,14
Action-1170,220,0
Action-1171,243,18
Action-1172,491,20
Action-1173,299,1
Action-1174,170,49
Action-1175,482,47
Action-1176,262,18
Action-1177,464,37
Action-1178,362,7
Action-1179,386,46
Action-1180,371,38
Action-1181,207,27
Action-1182,152,42
Action-1183,406,7
Action-1184,347,33
Action-1185,492,28
Action-1186,420,2
Action-1187,401,34
Action-1188,26,27
Action-1189,159,12
Action-1190,200,45
Action-1191,464,10
Action-1192,328,43
Action-1193,4,9
Action-1194,295,14
Action-1195,287,17
Action-1196,171,3
Action-1197,221,42
Action-1198,170,29
Action-1199,261,33
Action-1200,82,4
Action-1201,96,24
Action-1202,240,17
Action-1203,71,32
Action-1204,311,0
Action-1205,178,20
Action-1206,50,43
Action-1207,214,39
Action-1208,87,27
Action-1209,476,4
Action-1210,218,3
Action-1211,162,1
Action-1212,64,25
Action-1213,94,36
Action-1214,462,31
Action-1215,159,27
Action-1216,392,18
Action-1217,432,14
Action-1218,213,8
Action-1219,375,30
Action-1220,88,45
Action-1221,126,6
Action-1222,101,30
Action-1223,256,49
Action-1224,96,0
Action-1225,267,21
Action-1226,406,30
Action-1227,425,18
Action-1228,381,45
Action-1229,450,2
Action-1230,167,12
Action-1231,107,10
Action-1232,365,11
Action-1233,373,17
Action-1234,203,10
Action-1235,56,26
Action-1236,444,12
Action-1237,415,25
Action-1238,6,24
Action-1239,212,23
Action-1240,17,45
Action-1241,410,0
Action-1242,424,43
Action-1243,469,40
Action-1244,248,41
Action-1245,481,37
Action-1246,405,10
Action-1247,260,20
Action-1248,284,0
Action-1249,463,0
Action-1250,78,31
Action-1251,274,13
Action-1252,254,26
Action-1253,237,1
Action-1254,111,43
Action-1255,144,5
Action-1256,419,46
Action-1257,433,17
Action-1258,370,30
Action-1259,201,46
Action-1260,360,19
Action-1261,330,36
Action-1262,252,47
Action-1263,368,41
Action-1264,470,26
Action-1265,187,26
Action-1266,202,39
Action-1267,407,8
Action-1268,66,13
Action-1269,335,30
Action-1270,168,1
Action-1271,102,9
Action-1272,344,2
Action-1273,488,35
Action-1274,310,30
Action-1275,279,24
Action-1276,361,46
Action-1277,83,39
Action-1278,270,44
Action-1279,297,19
Action-1280,269,48
Action-1281,265,29
Action-1282,253,0
Action-1283,410,29
Action-1284,18,44
Action-1285,209,2
Action-1286,232,7
Action-1287,35,3
Action-1288,60,1
Action-1289,180,35
Action-1290,128,20
Action-1291,270,9
Action-1292,331,0
Action-1293,168,11
Action-1294,87,46
Action-1295,476,13
Action-1296,412,27
Action-1297,472,27
Action-1298,224,1
Action-1299,485,41
Action-1300,147,19
Action-1301,107,36
Action-1302,460,15
Action-1303,41,18
Action-1304,385,36
Action-1305,43,36
Action-1306,388,6
Action-1307,182,30
Action-1308,385,42
Action-1309,29,34
Action-1310,344,23
Action-1311,290,33
Action-1312,52,25
Action-1313,49,49
Action-1314,218,12
Action-1315,499,41
Action-1316,412,47
Action-1317,351,18
Action-1318,192,14
Action-1319,374,44
Action-1320,101,23
Action-1321,179,23
Action-1322,426,43
Action-1323,178,49
Action-1324,192,44
Action-1325,218,27
Action-1326,77,25
Action-1327,389,49
Action-1328,119,14
Action-1329,362,26
Action-1330,5,8
Action-1331,246,17
Action-1332,474,5
Action-1333,344,11
Action-1334,58,48
Action-1335,11,27
Action-1336,9,20
Action-1337,239,21
Action-1338,411,41
Action-1339,3,35
Action-1340,463,5
Action-1341,262,19
Action-1342,291,39
Action-1343,182,20
Action-1344,301,4
Action-1345,127,42
Action-1346,360,40
Action-1347,399,19
Action-1348,439,15
Action-1349,492,15
Action-1350,383,37
Action-1351,41,16
Action-1352,97,49
Action-1353,64,37
Action-1354,149,35
Action-1355,487,48
Action-1356,205,10
Action-1357,199,24
Action-1358,93,1
Action-1359,134,47
Action-1360,207,35
Action-1361,492,6
Action-1362,183,8
Action-1363,263,40
Action-1364,382,41
Action-1365,161,9
Action-1366,290,14
Action-1367,155,26
Action-1368,499,11
Action-1369,60,34
Action-1370,196,47
Action-1371,116,27
Action-1372,328,15
Action-1373,329,10
Action-1374,206,31
Action-1375,429,18
Action-1376,431,5
Action-1377,141,30
Action-1378,337,9
Action-1379,156,19
Action-1380,204,47
Action-1381,56,44
Action-1382,67,43
Action-1383,440,18
Action-1384,46,27
Action-1385,237,48
Action-1386,87,21
Action-1387,249,33
Action-1388,142,1
Action-1389,391,14
Action-1390,498,26
Action-1391,280,27
Action-1392,192,11
Action-1393,412,20
Action-1394,57,2
Action-1395,303,39
Action-1396,66,36
Action-1397,308,14
Action-1398,167,29
Action-1399,11,48
Action-1400,383,49
Action-1401,154,25
Action-1402,339,11
Action-1403,187,26
Action-1404,78,26
Action-1405,175,11
Action-1406,78,33
Action-1407,19,41
Action-1408,159,47
Action-1409,452,30
Action-1410,316,28
Action-1411,256,14
Action-1412,4,17
Action-1413,468,2
Action-1414,50,49
Action-1415,24,17
Action-1416,154,3
Action-1417,219,40
Action-1418,434,21
Action-1419,61,40
Action-1420,28,23
Action-1421,468,45
Action-1422,247,2
Action-1423,481,43
Action-1424,191,4
Action-1425,119,22
Action-1426,268,31
Action-1427,414,3
Action-1428,277,2
Action-1429,357,44
Action-1430,461,49
Action-1431,232,21
Action-1432,404,13
Action-1433,490,36
Action-1434,53,17
Action-1435,172,39
Action-1436,125,42
Action-1437,34,42
Action-1438,108,40
Action-1439,221,25
Action-1440,89,34
Action-1441,25,20
Action-1442,439,21
Action-1443,360,12
Action-1444,444,29
Action-1445,454,33
Action-1446,360,19
Action-1447,220,16
Action-1448,64,42
Action-1449,133,22
Action-1450,202,6
Action-1451,183,2
Action-1452,208,47
Action-1453,395,40
Action-1454,254,6
Action-1455,356,21
Action-1456,240,36
Action-1457,3,6
Action-1458,148,14
Action-1459,459,30
Action-1460,272,1
Action-1461,371,49
Action-1462,436,19
Action-1463,61,1
Action-1464,207,15
Action-1465,323,16
Action-1466,262,24
Action-1467,220,30
Action-1468,177,7
Action-1469,344,19
Action-1470,377,35
Action-1471,199,9
Action-1472,127,39
Action-1473,229,30
Action-1474,100,34
Action-1475,154,48
Action-1476,429,17
Action-1477,148,12
Action-1478,205,36
Action-1479,209,14
Action-1480,6,46
Action-1481,199,17
Action-1482,82,28
Action-1483,6,43
Action-1484,40,41
Action-1485,65,18
Action-1486,309,1
Action-1487,93,6
Action-1488,75,47
Action-1489,191,34
Action-1490,441,26
Action-1491,61,40
Action-1492,259,14
Action-1493,380,9
